menu_id,menu_name,parent_id,order_num,path,component,query,route_name,is_frame,is_cache,menu_type,visible,status,perms,icon,create_by,create_time,update_by,update_time,remark
1053,状态修改,110,5,#,,,,1,0,F,0,0,monitor:job:changeStatus,#,admin,2025-11-27 14:34:19,,,
1054,任务导出,110,6,#,,,,1,0,F,0,0,monitor:job:export,#,admin,2025-11-27 14:34:19,,,
1055,生成查询,116,1,#,,,,1,0,F,0,0,tool:gen:query,#,admin,2025-11-27 14:34:35,,,
1056,生成修改,116,2,#,,,,1,0,F,0,0,tool:gen:edit,#,admin,2025-11-27 14:34:35,,,
1057,生成删除,116,3,#,,,,1,0,F,0,0,tool:gen:remove,#,admin,2025-11-27 14:34:35,,,
1058,导入代码,116,4,#,,,,1,0,F,0,0,tool:gen:import,#,admin,2025-11-27 14:34:35,,,
1059,预览代码,116,5,#,,,,1,0,F,0,0,tool:gen:preview,#,admin,2025-11-27 14:34:35,,,
1060,生成代码,116,6,#,,,,1,0,F,0,0,tool:gen:code,#,admin,2025-11-27 14:34:35,,,
2000,支付管理,0,4,pay,,,,1,0,M,0,0,,money,admin,2024-02-15 22:40:23,,,
2001,订单,2000,1,order,pay/order/index,,,1,0,C,0,0,pay:order:list,#,admin,2025-11-27 14:34:25,,,订单菜单
2002,订单查询,2001,1,#,,,,1,0,F,0,0,pay:order:query,#,admin,2025-11-27 14:34:25,,,
2003,订单新增,2001,2,#,,,,1,0,F,0,0,pay:order:add,#,admin,2025-11-27 14:34:25,,,
2004,订单修改,2001,3,#,,,,1,0,F,0,0,pay:order:edit,#,admin,2025-11-27 14:34:25,,,
2005,订单删除,2001,4,#,,,,1,0,F,0,0,pay:order:remove,#,admin,2025-11-27 14:34:25,,,
2006,订单导出,2001,5,#,,,,1,0,F,0,0,pay:order:export,#,admin,2025-11-27 14:34:25,,,
2007,发票,2000,1,invoice,pay/invoice/index,,,1,0,C,0,0,pay:invoice:list,#,admin,2025-11-27 14:34:25,,,发票菜单
2008,发票查询,2007,1,#,,,,1,0,F,0,0,pay:invoice:query,#,admin,2025-11-27 14:34:25,,,
2009,发票新增,2007,2,#,,,,1,0,F,0,0,pay:invoice:add,#,admin,2025-11-27 14:34:25,,,
2010,发票修改,2007,3,#,,,,1,0,F,0,0,pay:invoice:edit,#,admin,2025-11-27 14:34:26,,,
2011,发票删除,2007,4,#,,,,1,0,F,0,0,pay:invoice:remove,#,admin,2025-11-27 14:34:26,,,
2012,发票导出,2007,5,#,,,,1,0,F,0,0,pay:invoice:export,#,admin,2025-11-27 14:34:26,,,
2013,Online,0,5,onlinedev,,,,1,0,M,0,0,,international,admin,2024-03-07 19:38:34,,,
2014,mybatis在线接口,2013,1,mb,online/mb/index,,,1,0,C,0,0,online:mb:list,code,admin,2025-11-27 14:34:30,,,mybatis在线接口菜单
2015,数据库,2013,1,db,online/db/index,,,1,0,C,0,0,admin,table,admin,2024-03-07 19:48:24,admin,2024-03-07 19:54:46,
2016,mybatis在线接口查询,2015,1,#,,,,1,0,F,0,0,online:mb:query,#,admin,2025-11-27 14:34:30,,,
2017,mybatis在线接口新增,2015,2,#,,,,1,0,F,0,0,online:mb:add,#,admin,2025-11-27 14:34:30,,,
2018,mybatis在线接口修改,2015,3,#,,,,1,0,F,0,0,online:mb:edit,#,admin,2025-11-27 14:34:30,,,
2019,mybatis在线接口删除,2015,4,#,,,,1,0,F,0,0,online:mb:remove,#,admin,2025-11-27 14:34:30,,,
2020,mybatis在线接口导出,2015,5,#,,,,1,0,F,0,0,online:mb:export,#,admin,2025-11-27 14:34:30,,,
2021,消息系统,0,6,modelMessage,,,,1,0,M,0,0,,message,admin,2024-12-31 11:57:29,xl,2025-01-03 15:48:44,
2022,消息管理,2021,0,messageSystem,message/messageSystem/index,,,1,0,C,0,0,modelMessage:messageSystem:list,#,admin,2024-12-21 15:00:31,admin,2024-12-31 15:04:49,消息管理菜单
2023,消息管理查询,2022,1,#,,,,1,0,F,0,0,modelMessage:messageSystem:query,#,admin,2024-12-21 15:00:31,,,
2024,消息管理新增,2022,2,#,,,,1,0,F,0,0,modelMessage:messageSystem:add,#,admin,2024-12-21 15:00:31,,,
2025,消息管理修改,2022,3,#,,,,1,0,F,0,0,modelMessage:messageSystem:edit,#,admin,2024-12-21 15:00:31,,,
2026,消息管理删除,2022,4,#,,,,1,0,F,0,0,modelMessage:messageSystem:remove,#,admin,2024-12-21 15:00:31,,,
2027,消息管理导出,2022,5,#,,,,1,0,F,0,0,modelMessage:messageSystem:export,#,admin,2024-12-21 15:00:31,,,
2028,模版管理,2021,1,template,message/template/index,,,1,0,C,0,0,modelMessage:template:list,#,admin,2024-12-31 14:59:52,,,模版管理菜单
